aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,rrp_price,saving,savings_percent,base_price,base_price_amount,base_price_text,product_price_old
https://www.awin1.com/pclick.php?p=43036517318&a=3093907&m=81383,"Balcão de Cozinha Miami 1200mm 2 Portas 3 Gavetas Sem Tampo Carraro Freijó com Off White",43036517318,12506005,,,,510.86,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12506005,,,BRL510.86,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517319&a=3093907&m=81383,"Balcão de Cozinha Miami 1200mm 2 Portas 3 Gavetas Com Tampo Carraro Freijó com Off White - Balcão de Cozinha 1200mm 3 Portas 2 Gavetas Com Tampo Lótus Carraro Freijó com Off White",43036517319,12506006,,,,652.16,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12506006,,,BRL652.16,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517320&a=3093907&m=81383,"Balcão de Cozinha Miami 800mm 2 Portas Com Tampo Carraro Branco",43036517320,12507001,,,,326.08,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12507001,,,BRL326.08,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517321&a=3093907&m=81383,"Balcão de Cozinha Miami 800mm 2 Portas Com Tampo Carraro Freijó",43036517321,12507002,,,,326.08,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12507002,,,BRL326.08,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517322&a=3093907&m=81383,"Balcão de Cozinha Miami 800mm 2 Portas Com Tampo Carraro Freijó com Off White",43036517322,12507003,,,,326.08,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12507003,,,BRL326.08,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517323&a=3093907&m=81383,"Balcão de Cozinha Canto Miami 1 Porta Com Tampo Carraro Branco",43036517323,12508001,,,,347.82,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12508001,,,BRL347.82,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517324&a=3093907&m=81383,"Balcão de Cozinha Canto Miami 1 Porta Com Tampo Carraro Freijó",43036517324,12508002,,,,347.82,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12508002,,,BRL347.82,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517325&a=3093907&m=81383,"Balcão de Cozinha Canto Miami 1 Porta Com Tampo Carraro Freijó com Off White",43036517325,12508003,,,,347.82,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12508003,,,BRL347.82,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517326&a=3093907&m=81383,"Paneleiro 1 Porta + 1 Porta de Vidro 5 Prateleiras Lótus Carraro Preto",43036517326,12509001,,,,543.47,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12509001,,,BRL543.47,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517327&a=3093907&m=81383,"Paneleiro 1 Porta + 1 Porta de Vidro 5 Prateleiras Lótus Carraro Branco",43036517327,12509002,,,,543.47,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12509002,,,BRL543.47,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517328&a=3093907&m=81383,"Paneleiro 1 Porta + 1 Porta de Vidro 5 Prateleiras Lótus Carraro Freijó",43036517328,12509003,,,,543.47,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12509003,,,BRL543.47,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517329&a=3093907&m=81383,"Paneleiro 1 Porta + 1 Porta de Vidro 5 Prateleiras Lótus Carraro Freijó com Off White",43036517329,12509004,,,,543.47,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12509004,,,BRL543.47,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517330&a=3093907&m=81383,"Paneleiro Miami 1 Porta + 1 Porta de Vidro 5 Prateleiras Carraro Preto Touch",43036517330,12509005,,,,543.47,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12509005,,,BRL543.47,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517331&a=3093907&m=81383,"Paneleiro Miami 1 Porta + 1 Porta de Vidro 5 Prateleiras Carraro Branco",43036517331,12509006,,,,543.47,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12509006,,,BRL543.47,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517332&a=3093907&m=81383,"Paneleiro Miami 1 Porta + 1 Porta de Vidro 5 Prateleiras Carraro Freijó com Off White",43036517332,12509008,,,,543.47,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12509008,,,BRL543.47,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517333&a=3093907&m=81383,"Paneleiro Miami 3 Portas 5 Prateleiras Carraro Freijó",43036517333,12510001,,,,434.77,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12510001,,,BRL434.77,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517334&a=3093907&m=81383,"Paneleiro Miami 3 Portas 5 Prateleiras Carraro Branco",43036517334,12510002,,,,467.38,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12510002,,,BRL467.38,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517335&a=3093907&m=81383,"Paneleiro Miami 3 Portas 5 Prateleiras Carraro Preto Touch",43036517335,12510003,,,,467.38,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12510003,,,BRL467.38,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517336&a=3093907&m=81383,"Paneleiro Miami 3 Portas 5 Prateleiras Carraro Freijó com Off White",43036517336,12510004,,,,434.77,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12510004,,,BRL434.77,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517337&a=3093907&m=81383,"Torre Quente Miami para 1 Forno 1 Microondas 3 Portas Carraro Freijó",43036517337,12511001,,,,576.08,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12511001,,,BRL576.08,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517338&a=3093907&m=81383,"Torre Quente Miami para 1 Forno 1 Microondas 3 Portas Carraro Branco",43036517338,12511002,,,,543.47,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12511002,,,BRL543.47,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517339&a=3093907&m=81383,"Torre Quente Miami para 1 Forno 1 Microondas 3 Portas Carraro Preto Touch",43036517339,12511003,,,,576.08,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12511003,,,BRL576.08,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517340&a=3093907&m=81383,"Torre Quente Miami para 1 Forno 1 Microondas 3 Portas Carraro Freijó com Off White",43036517340,12511004,,,,543.47,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12511004,,,BRL543.47,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517341&a=3093907&m=81383,"Mesa Bancada Ilha para Cozinha Miami Carraro Freijó",43036517341,12513001,,,,423.9,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12513001,,,BRL423.9,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517342&a=3093907&m=81383,"Mesa Bancada Ilha para Cozinha Miami Carraro Branco",43036517342,12513002,,,,423.9,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12513002,,,BRL423.9,111390,,,,,,,
